id,name,country,primary_subfield,total_publications,Artificial Intelligence,Computational Theory and Mathematics,Computer Graphics and Computer-Aided Design,Computer Networks and Communications,Computer Science Applications,Computer Vision and Pattern Recognition,Hardware and Architecture,Human-Computer Interaction,Information Systems,Signal Processing,Software
A5060901555,Rafael A. da Silva,BR,Computer Networks and Communications,1,0,0,0,1,0,0,0,0,0,0,0
A5019995614,Khaled Boussetta,FR,Computer Networks and Communications,1,0,0,0,1,0,0,0,0,0,0,0
A5037457114,Ronaldo R. da Silva,BR,Signal Processing,1,0,0,0,0,0,0,0,0,0,1,0
A5024817033,Eduardo H. D. Quijano,BR,Software,1,0,0,0,0,0,0,0,0,0,0,1
A5028630744,Ludwik Kuźniarz,SE,Software,1,0,0,0,0,0,0,0,0,0,0,1
A5074797910,Joao Gilberto S. Piotto,BR,Computer Vision and Pattern Recognition,1,0,0,0,0,0,1,0,0,0,0,0
A5073776277,Karina Rodríguez Echavarria,GB,Computer Vision and Pattern Recognition,1,0,0,0,0,0,1,0,0,0,0,0
A5057022813,Ludmila Pinheiro da Silva,BR,Information Systems,1,0,0,0,0,0,0,0,0,1,0,0
A5031900357,Maria Luzia Silva Lima,BR,Information Systems,1,0,0,0,0,0,0,0,0,1,0,0
A5031199512,Cirios S. Gomes,BR,Computer Networks and Communications,1,0,0,0,1,0,0,0,0,0,0,0
A5030005872,João Batista da Silva,BR,Computer Networks and Communications,1,0,0,0,1,0,0,0,0,0,0,0
A5044803744,Natalia Monjelat,BR,Computer Science Applications,1,0,0,0,0,1,0,0,0,0,0,0
A5013518903,Patricia Silvana San Martín,,Computer Science Applications,1,0,0,0,0,1,0,0,0,0,0,0
A5075003461,Ralph Teixeira,BR,Computer Graphics and Computer-Aided Design,1,0,0,1,0,0,0,0,0,0,0,0
A5089107068,A. M. Alcalde,BR,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5012585425,Sónia Catarina Martins Roxo,PT,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5032770446,José António de Almeida,PT,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5022286765,Filipa Vieira Matias,PT,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5030071116,Herlander Mata‐Lima,BR,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5018659058,Sofia Barbosa,PT,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5029178817,Sônia Maria Breda,BR,Information Systems,2,0,0,0,0,0,0,0,0,2,0,0
A5018597638,Rubens E.A. Moreira,BR,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5041253812,Maristella Ribas,BR,Information Systems,2,0,0,0,0,0,0,0,0,2,0,0
A5075649484,Marcela Leite,BR,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5018319019,Jonas Roberto Tibola,BR,Computer Networks and Communications,1,0,0,0,1,0,0,0,0,0,0,0
