subfield_display,single_publications,multi_publications,total_publications,single_percentage,multi_percentage,single_avg_citations,multi_avg_citations
Software,346,440,786,44.02,55.98,6.5606936416184976,5.902272727272727
Hardware and Architecture,502,615,1117,44.94,55.06,4.3326693227091635,4.3983739837398375
Signal Processing,1025,1073,2098,48.86,51.14,7.560975609756097,7.415657036346691
Computer Graphics and Computer-Aided Design,199,159,358,55.59,44.41,4.452261306532663,4.666666666666667
Human-Computer Interaction,1031,791,1822,56.59,43.41,4.037827352085354,8.498103666245258
Computer Science Applications,1751,1260,3011,58.15,41.85,4.548829240434038,8.072222222222223
Computer Vision and Pattern Recognition,3728,2406,6134,60.78,39.22,7.6290236051502145,9.589359933499585
Computer Networks and Communications,5158,2594,7752,66.54,33.46,7.826289259402869,8.084425597532768
Artificial Intelligence,10204,3784,13988,72.95,27.05,7.612308898471188,8.492336152219874
Computational Theory and Mathematics,3108,731,3839,80.96,19.04,8.76994851994852,9.705882352941176
Information Systems,22925,3560,26485,86.56,13.44,2.962442748091603,6.417415730337079
Total,49977,17413,67390,74.16,25.84,5.33975628789243,7.8684316315396545
