author_id,author_name,movement_type,prev_year,prev_countries,prev_publication_id,curr_year,curr_countries,curr_publication_id
A5014230231,Alan C. Santos,Brazilian to Foreign,2022,"BR, SE",W3210766443,2023,SE,W4388697851
A5014230231,Alan C. Santos,Foreign to Brazilian,2023,SE,W4388697851,2023,"BR, SE",W4313463025
A5014230231,Alan C. Santos,Brazilian to Foreign,2023,BR,W4386770045,2024,ES,W4401718763
A5014230231,Alan C. Santos,Foreign to Brazilian,2024,ES,W4401718763,2024,"BR, ES",W4395484063
A5062944805,Maiara F. Bollauf,Brazilian to Foreign,2021,"BR, NO, US",W3194522017,2024,NO,W4401694183
A5050461785,Bianca Minetto Napoleão,Brazilian to Foreign,2020,BR,W3042492138,2020,CA,W3093531863
A5050461785,Bianca Minetto Napoleão,Foreign to Brazilian,2020,CA,W3093531863,2021,BR,W3138966960
A5050461785,Bianca Minetto Napoleão,Brazilian to Foreign,2021,BR,W3138966960,2022,CA,W4316657899
A5008013233,Fábio Petrillo,Brazilian to Foreign,2015,BR,W2103843930,2016,CA,W2399763579
A5008013233,Fábio Petrillo,Foreign to Brazilian,2016,CA,W2399763579,2016,"BR, CA",W2464287954
A5008013233,Fábio Petrillo,Brazilian to Foreign,2016,"BR, CA",W2527840817,2018,US,W2794636447
A5029910583,Ricardo Britto,Foreign to Brazilian,2015,SE,W1538778494,2015,BR,W3166851926
A5029910583,Ricardo Britto,Brazilian to Foreign,2015,BR,W3166851926,2016,SE,W2557297217
A5029910583,Ricardo Britto,Foreign to Brazilian,2016,SE,W2557297217,2016,"BR, SE",W2513406300
A5029910583,Ricardo Britto,Brazilian to Foreign,2018,"BR, SE",W2800825768,2019,SE,W2974847808
A5029910583,Ricardo Britto,Foreign to Brazilian,2019,SE,W2991592460,2020,BR,W3093481113
A5029910583,Ricardo Britto,Brazilian to Foreign,2020,BR,W3093481113,2021,SE,W3160848646
A5052547062,Elias P. Duarte,Brazilian to Foreign,2021,BR,W4205514287,2021,US,W3178583566
A5052547062,Elias P. Duarte,Foreign to Brazilian,2021,US,W3178583566,2021,BR,W4205174443
A5062727998,Fernanda Miyuki Yamada,Brazilian to Foreign,2019,BR,W2994075339,2020,JP,W3037184009
A5049640992,Alexandre César Muniz de Oliveira,Brazilian to Foreign,2018,BR,W2787916552,2018,GB,W2905041909
A5049640992,Alexandre César Muniz de Oliveira,Foreign to Brazilian,2018,GB,W2905041909,2018,BR,W2906905181
A5065060873,Alceu Bissoto,Brazilian to Foreign,2024,BR,W4391511926,2024,CH,W4405304696
A5065060873,Alceu Bissoto,Foreign to Brazilian,2024,CH,W4405304696,2024,BR,W4402916371
A5100455129,Hang Li,Brazilian to Foreign,2017,BR,W2770385689,2023,CN,W4387741671
A5065441606,José Pereira,Foreign to Brazilian,2019,PT,W2999865513,2024,"BR, PT",W4402041843
A5054409160,João Paulo,Foreign to Brazilian,2019,PT,W2999865513,2021,"BR, PT",W3215376949
A5110645706,Wilk Oliveira,Brazilian to Foreign,2021,BR,W3183037781,2024,FI,W4401991204
A5076792725,Carlile Lavor,Brazilian to Foreign,2016,BR,W2325936050,2017,US,W2675961628
A5076792725,Carlile Lavor,Foreign to Brazilian,2017,US,W2675961628,2017,BR,W2765471166
A5089721393,Márcio Eduardo Delamaro,Brazilian to Foreign,2015,BR,W2271872766,2016,ES,W2913240670
A5089721393,Márcio Eduardo Delamaro,Foreign to Brazilian,2016,ES,W2913240670,2016,BR,W2555399649
A5089721393,Márcio Eduardo Delamaro,Brazilian to Foreign,2017,BR,W2913784326,2017,PE,W2754147977
A5089721393,Márcio Eduardo Delamaro,Foreign to Brazilian,2017,PE,W2754147977,2017,BR,W2606536767
A5089721393,Márcio Eduardo Delamaro,Brazilian to Foreign,2019,BR,W2974847808,2019,ES,W2988318083
A5089721393,Márcio Eduardo Delamaro,Foreign to Brazilian,2019,ES,W2988318083,2019,BR,W3022140360
A5049209193,Márcio Niemeyer Martins de Queiroz Guimarães,Brazilian to Foreign,2020,BR,W3112741975,2024,"GB, US",W4392856998
A5068547531,Marisa Gutiérrez,Brazilian to Foreign,2020,BR,W3084238658,2022,AR,W4292229918
A5003870082,Fabio Andrade,Brazilian to Foreign,2019,"BR, NO",W2974809093,2021,NO,W4200316331
A5003870082,Fabio Andrade,Foreign to Brazilian,2021,NO,W4200316331,2021,BR,W3199699084
A5003870082,Fabio Andrade,Brazilian to Foreign,2021,BR,W3199699084,2022,NO,W4220953675
A5025235658,Martin Andreoni Lopez,Brazilian to Foreign,2017,BR,W2782336203,2017,FR,W4300214102
A5025235658,Martin Andreoni Lopez,Foreign to Brazilian,2017,FR,W4300784420,2018,BR,W2921180378
A5025235658,Martin Andreoni Lopez,Brazilian to Foreign,2019,"BR, FR",W2946704785,2019,FR,W2955559202
A5025235658,Martin Andreoni Lopez,Foreign to Brazilian,2019,FR,W2955559202,2020,BR,W3045849030
A5025235658,Martin Andreoni Lopez,Brazilian to Foreign,2021,"BR, FR",W3195857193,2021,AE,W4206290226
A5090128156,Victor Oliveira Santos,Brazilian to Foreign,2022,BR,W4226148019,2024,CA,W4400875915
A5021360591,Ítalo Santos,Brazilian to Foreign,2021,BR,W3166902963,2022,US,W4299818895
A5051401475,Israel F. Araujo,Brazilian to Foreign,2023,"BR, KR",W4390323250,2023,KR,W4387917696
A5051401475,Israel F. Araujo,Foreign to Brazilian,2023,KR,W4385154300,2023,BR,W3195877990
A5051401475,Israel F. Araujo,Brazilian to Foreign,2023,BR,W3195877990,2024,KR,W4391345864
A5009386864,Thibaut Vidal,Brazilian to Foreign,2021,"BR, CA",W3171466432,2023,CA,W4382239166
A5009386864,Thibaut Vidal,Foreign to Brazilian,2023,CA,W4382239166,2024,"BR, CA",W4391508918
A5031032375,Vinícius Veloso de Melo,Brazilian to Foreign,2019,BR,W2985353979,2020,CA,W3081052986
A5031032375,Vinícius Veloso de Melo,Foreign to Brazilian,2020,CA,W3081052986,2021,BR,W3183280139
A5031032375,Vinícius Veloso de Melo,Brazilian to Foreign,2021,BR,W3183280139,2021,CA,W3194342044
A5033631304,Euclides Lourenço Chuma,Brazilian to Foreign,2020,BR,W3095517106,2023,SE,W4391217298
A5033631304,Euclides Lourenço Chuma,Foreign to Brazilian,2023,SE,W4391217298,2024,BR,W4400242057
A5021874807,Ângela Maria Alves,Brazilian to Foreign,2015,BR,W2530146647,2015,US,W2025109232
A5021874807,Ângela Maria Alves,Foreign to Brazilian,2015,US,W2025109232,2024,BR,W4400242057
A5045531611,Nicolas Ferranti,Brazilian to Foreign,2021,BR,W3154670851,2024,AT,W4401812038
A5047339569,Jairo Francisco de Souza,Brazilian to Foreign,2022,BR,W4285803066,2022,US,W4311017889
A5047339569,Jairo Francisco de Souza,Foreign to Brazilian,2022,US,W4311017889,2022,BR,W4311009018
A5041145702,Rafael Izbicki,Brazilian to Foreign,2016,"BR, US",W2270035949,2017,US,W2767953584
A5041145702,Rafael Izbicki,Foreign to Brazilian,2017,US,W2767953584,2017,"BR, US",W2962789183
A5071521366,Edirlei Soares de Lima,Brazilian to Foreign,2017,BR,W2584143359,2018,PT,W2911640755
A5071521366,Edirlei Soares de Lima,Foreign to Brazilian,2018,PT,W2911640755,2018,BR,W2893526753
A5071521366,Edirlei Soares de Lima,Brazilian to Foreign,2018,BR,W2889515437,2019,PT,W2995782662
A5001979247,Kei Sawada,Brazilian to Foreign,2018,BR,W2803268054,2024,CL,W4401511342
A5004098224,S. P. Walborn,Brazilian to Foreign,2021,"BR, CL",W3034344447,2021,CL,W3129100196
A5068945291,Ana Paula Chaves,Brazilian to Foreign,2022,"BR, US",W4206735990,2023,US,W4366590483
A5064690343,Leonardo A. Ferreira,Brazilian to Foreign,2022,BR,W4286790011,2024,US,W4401007975
A5059093687,Vı́tor Santos Costa,Foreign to Brazilian,2016,PT,W2561609439,2024,BR,W4395662112
A5114140963,Matheus Torquato,Brazilian to Foreign,2019,BR,W2975523493,2019,PT,W2983456360
A5114140963,Matheus Torquato,Foreign to Brazilian,2019,PT,W2983456360,2019,BR,W3006042012
A5114140963,Matheus Torquato,Brazilian to Foreign,2020,"BR, PT",W3003279768,2020,PT,W3009393875
A5114140963,Matheus Torquato,Foreign to Brazilian,2020,PT,W3009393875,2021,"BR, PT",W4200446297
A5114140963,Matheus Torquato,Brazilian to Foreign,2021,"BR, PT",W4200446297,2021,PT,W3199761542
A5114140963,Matheus Torquato,Foreign to Brazilian,2021,PT,W3199761542,2021,"BR, PT",W4211101412
A5073156082,Reinaldo A. C. Bianchi,Brazilian to Foreign,2017,BR,W2964103606,2017,ES,W2775224638
A5073156082,Reinaldo A. C. Bianchi,Foreign to Brazilian,2017,ES,W2775224638,2017,BR,W2783162182
A5019231404,Fernanda S. Tonin,Brazilian to Foreign,2022,BR,W4205795357,2023,PT,W4382918674
A5010865156,Henrique K. Miyamoto,Brazilian to Foreign,2022,"BR, FR",W3209475909,2022,FR,W4312057594
A5061101324,Eduardo K. Viegas,Brazilian to Foreign,2020,BR,W3045849030,2020,PR,W4285620308
A5061101324,Eduardo K. Viegas,Foreign to Brazilian,2020,PR,W4285620308,2020,BR,W3110519180
A5061101324,Eduardo K. Viegas,Brazilian to Foreign,2021,BR,W4210683250,2022,AE,W4310172539
A5061101324,Eduardo K. Viegas,Foreign to Brazilian,2022,AE,W4320029432,2022,"AE, BR",W4295916558
A5073025551,Altair O. Santin,Brazilian to Foreign,2015,BR,W1941105299,2016,PR,W4320525999
A5073025551,Altair O. Santin,Foreign to Brazilian,2016,PR,W4320525999,2016,BR,W2343841005
A5073025551,Altair O. Santin,Brazilian to Foreign,2019,BR,W2921188540,2020,PR,W4285620308
A5073025551,Altair O. Santin,Foreign to Brazilian,2020,PR,W4285620308,2020,BR,W3110519180
A5049251780,Éverton de Matos,Brazilian to Foreign,2020,BR,W3093518002,2021,AE,W3138993025
A5036248300,Ihosvany Camps,Brazilian to Foreign,2024,BR,W4403498354,2024,CA,W4399783878
A5081919424,Francesco Petruccione,Foreign to Brazilian,2021,KR,W3047378565,2022,"BR, ZA",W4283362028
A5081919424,Francesco Petruccione,Brazilian to Foreign,2022,"BR, ZA",W4283362028,2023,ZA,W3195877990
