subfield_display,publication_year,domestic_publications,international_publications,total_publications,domestic_percentage,international_percentage,domestic_avg_citations,international_avg_citations
Information Systems,2022,2610.0,580.0,3190.0,81.82,18.18,1.236015325670498,3.1086206896551722
Signal Processing,2022,122.0,74.0,196.0,62.24,37.76,2.4262295081967213,7.554054054054054
Software,2022,44.0,9.0,53.0,83.02,16.98,2.1363636363636362,4.111111111111111
Artificial Intelligence,2023,980.0,434.0,1414.0,69.31,30.69,1.453061224489796,4.023041474654378
Computational Theory and Mathematics,2023,281.0,153.0,434.0,64.75,35.25,1.2811387900355873,3.1241830065359477
Computer Graphics and Computer-Aided Design,2023,18.0,9.0,27.0,66.67,33.33,0.8888888888888888,1.1111111111111112
Computer Networks and Communications,2023,424.0,216.0,640.0,66.25,33.75,1.3867924528301887,3.2777777777777777
Computer Science Applications,2023,245.0,92.0,337.0,72.7,27.3,1.7877551020408162,2.1956521739130435
Computer Vision and Pattern Recognition,2023,381.0,181.0,562.0,67.79,32.21,1.1653543307086613,3.3977900552486187
Hardware and Architecture,2023,57.0,27.0,84.0,67.86,32.14,0.7543859649122807,4.37037037037037
Human-Computer Interaction,2023,150.0,42.0,192.0,78.12,21.88,1.0266666666666666,2.357142857142857
Information Systems,2023,2724.0,638.0,3362.0,81.02,18.98,0.5084434654919237,1.3213166144200628
Signal Processing,2023,157.0,55.0,212.0,74.06,25.94,2.0191082802547773,2.5090909090909093
Software,2023,49.0,17.0,66.0,74.24,25.76,0.9795918367346939,1.588235294117647
Artificial Intelligence,2024,728.0,392.0,1120.0,65.0,35.0,0.4409340659340659,0.9362244897959183
Computational Theory and Mathematics,2024,139.0,122.0,261.0,53.26,46.74,0.5107913669064749,1.4180327868852458
Computer Graphics and Computer-Aided Design,2024,14.0,11.0,25.0,56.0,44.0,0.21428571428571427,0.9090909090909091
Computer Networks and Communications,2024,333.0,188.0,521.0,63.92,36.08,0.36036036036036034,1.127659574468085
Computer Science Applications,2024,193.0,78.0,271.0,71.22,28.78,0.19689119170984457,0.9743589743589743
Computer Vision and Pattern Recognition,2024,311.0,135.0,446.0,69.73,30.27,0.3408360128617363,0.9111111111111111
Hardware and Architecture,2024,50.0,22.0,72.0,69.44,30.56,0.16,0.09090909090909091
Human-Computer Interaction,2024,117.0,38.0,155.0,75.48,24.52,0.5555555555555556,1.1578947368421053
Information Systems,2024,1466.0,405.0,1871.0,78.35,21.65,0.17121418826739426,0.34814814814814815
Signal Processing,2024,80.0,45.0,125.0,64.0,36.0,0.375,1.5555555555555556
Software,2024,27.0,18.0,45.0,60.0,40.0,0.48148148148148145,0.5
